SchCode,School,City,County,Enrollment,Conditional_Num,Cond_Per,PBE_Num,PBE_Per,FRPM_Per
6071039,WALT DISNEY ELEMENTARY,SAN RAMON,CONTRA COSTA,78,3,0.038461538,1,0.012820513,0.052823316
6089130,TWIN CREEKS ELEMENTARY,SAN RAMON,CONTRA COSTA,108,2,0.018518519,2,0.018518519,0.050847456
6096036,GREENBROOK ELEMENTARY,DANVILLE,CONTRA COSTA,115,0,0,3,0.026086957,0.028037382
6097158,MONTEVIDEO ELEMENTARY,SAN RAMON,CONTRA COSTA,89,5,0.056179775,0,0,0.049180329
6100952,BOLLINGER CANYON ELEMENTARY,SAN RAMON,CONTRA COSTA,75,0,0,1,0.013333333,0.033391915
6108161,GOLDEN VIEW ELEMENTARY,SAN RAMON,CONTRA COSTA,174,29,0.166666667,2,0.011494253,0.039669421
6110449,SYCAMORE VALLEY ELEMENTARY,DANVILLE,CONTRA COSTA,87,0,0,1,0.011494253,0.009202454
6114326,TASSAJARA HILLS ELEMENTARY,DANVILLE,CONTRA COSTA,73,3,0.04109589,1,0.01369863,0.033807829
6117485,COYOTE CREEK ELEMENTARY,SAN RAMON,CONTRA COSTA,194,1,0.005154639,8,0.041237113,0.042990655
6005169,BUENA VISTA ELEMENTARY,WALNUT CREEK,CONTRA COSTA,75,0,0,0,0,0.11299435
6005177,INDIAN VALLEY ELEMENTARY,WALNUT CREEK,CONTRA COSTA,76,0,0,3,0.039473684,0.097560972
6005185,MURWOOD ELEMENTARY,WALNUT CREEK,CONTRA COSTA,87,1,0.011494253,9,0.103448276,0.164179102
6005193,PARKMEAD ELEMENTARY,WALNUT CREEK,CONTRA COSTA,88,2,0.022727273,7,0.079545455,0.063339733
6005243,WALNUT HEIGHTS ELEMENTARY,WALNUT CREEK,CONTRA COSTA,89,2,0.02247191,1,0.011235955,0.071770333
0109777,KLAMATH RIVER EARLY COLLEGE OF THE REDWOODS,CRESCENT CITY,DEL NORTE,0,0,0,0,0,0.716049373
0830059,CASTLE ROCK,CRESCENT CITY,DEL NORTE,11,1,0.090909091,6,0.545454545,0.667763174
6005375,BESS MAXWELL ELEMENTARY,CRESCENT CITY,DEL NORTE,52,2,0.038461538,4,0.076923077,0.873684227
6005391,JOE HAMILTON ELEMENTARY,CRESCENT CITY,DEL NORTE,62,1,0.016129032,1,0.016129032,0.908196747
6005417,MARGARET KEATING ELEMENTARY,KLAMATH,DEL NORTE,18,1,0.055555556,3,0.166666667,0.887499988
6005433,PINE GROVE ELEMENTARY,CRESCENT CITY,DEL NORTE,50,1,0.02,4,0.08,0.74485594
6005441,REDWOOD ELEMENTARY,CRESCENT CITY,DEL NORTE,38,0,0,6,0.157894737,0.488095224
6005458,SMITH RIVER ELEMENTARY,SMITH RIVER,DEL NORTE,27,0,0,0,0,0.851239681
6113013,MARY PEACOCK ELEMENTARY,CRESCENT CITY,DEL NORTE,62,2,0.032258065,1,0.016129032,0.55524081
0123521,CHARTER ALTERNATIVE PROGRAM -CAP-,EL DORADO,EL DORADO,11,0,0,4,0.363636364,0.188235298
0100024,OAK MEADOW ELEMENTARY,EL DORADO HILLS,EL DORADO,108,1,0.009259259,3,0.027777778,0.065920398
0107227,CHARTER MONTESSORI BLUE OAK CAMPUS,CAMERON PARK,EL DORADO,46,1,0.02173913,9,0.195652174,0.189075634
